method	path	handler	source_file	auth_signal	tenant_class	risk_class	coverage_test	coverage_status	owner	defer_reason
GET	/admin/doc-types	list_doc_types	backend/app.py:435	require_admin	admin_global	P0_ADMIN_GLOBAL	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
GET	/admin/placeholders	list_placeholders	backend/app.py:951	public-explicit-or-legacy	public_safe_or_legacy	P2_HEALTH_OR_STATIC	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
POST	/admin/placeholders	create_placeholder	backend/app.py:962	public-explicit-or-legacy	public_safe_or_legacy	P0_RESOURCE_IDOR	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
DELETE	/admin/placeholders/{key}	delete_placeholder	backend/app.py:1032	require_admin	admin_global	P0_ADMIN_GLOBAL	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
PUT	/admin/placeholders/{key}	update_placeholder	backend/app.py:999	require_admin	admin_global	P0_ADMIN_GLOBAL	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
GET	/admin/templates	list_templates	backend/app.py:441	require_admin	admin_global	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
GET	/admin/templates/{doc_type}	get_template	backend/app.py:462	require_admin	admin_global	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
PUT	/admin/templates/{doc_type}	save_template	backend/app.py:479	require_admin	admin_global	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
GET	/admin/templates/{doc_type}/files	list_template_files	backend/app.py:492	require_admin	admin_global	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
POST	/admin/templates/{doc_type}/files	upload_template_file	backend/app.py:549	require_admin	admin_global	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
DELETE	/admin/templates/{doc_type}/files/{filename}	delete_template_file	backend/app.py:570	require_admin	admin_global	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
GET	/admin/templates/{doc_type}/files/{filename}/view	view_reference_file	backend/app.py:798	require_admin	admin_global	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
GET	/admin/templates/{doc_type}/revisions	get_template_revisions	backend/app.py:591	require_admin	admin_global	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
DELETE	/admin/templates/{doc_type}/template-file	delete_template_file_lang	backend/app.py:632	require_admin	admin_global	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
POST	/admin/templates/{doc_type}/template-file	upload_template_file_lang	backend/app.py:606	require_admin	admin_global	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
GET	/admin/templates/{doc_type}/template-file/view	view_template_file	backend/app.py:777	require_admin	admin_global	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
GET	/admin/templates/{doc_type}/template-files	list_template_files_lang	backend/app.py:648	require_admin	admin_global	P0_FILE_OBJECT	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
GET	/admin/users	admin_list_users	backend/app.py:1098	require_admin	admin_global	P0_ADMIN_GLOBAL	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
POST	/admin/users	admin_create_user	backend/app.py:1135	require_admin	admin_global	P0_ADMIN_GLOBAL	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
DELETE	/admin/users/{user_id}	admin_delete_user	backend/app.py:1297	require_admin	admin_global	P0_ADMIN_GLOBAL	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
PUT	/admin/users/{user_id}	admin_update_user	backend/app.py:1259	require_admin	admin_global	P0_ADMIN_GLOBAL	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
POST	/admin/users/{user_id}/reset-password	admin_reset_user_password	backend/app.py:1211	require_admin	admin_global	P0_ADMIN_GLOBAL	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
GET	/admin/verify	admin_verify	backend/app.py:426	require_admin	admin_global	P0_ADMIN_GLOBAL	tests/test_unauth_route_boundaries.py; tests/test_keycloak_admin_edge.py	covered		
GET	/api/audits	list_visits	backend/auth/audit_router.py:519	require_provider	provider_business_scoped	P1_TENANT_LIST	tests/test_unauth_route_boundaries.py; tests/uat/test_uat_c_tenant_isolation.py	covered		
