domain	status	step	evidence	note
preflight	FAIL	P0-G0 preflight snapshot	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P0-G0-preflight.txt	exit=0 or health/migration mismatch
preflight	PASS	P0-G0 migration via db-migrate wrapper	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P0-G0-preflight-migration-correction.txt	041_module_registry head confirmed; direct alembic env issue classified harness-only
runtime	PASS	P0-G1 runtime health and 12-sample stability	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P0-G1-runtime-health-stability.txt	all endpoints/keycloak/redis ok; no fatal patterns
backend-playwright	PASS	P0-G3 backend Playwright browser launch	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P0-G3-backend-playwright-sanity.txt	1.56.0 browser launch/render ok
modularization	FAIL	P0-G6 module registry/guard/sidebar focused gates	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P0-G6-modularization-focused-gates.txt	exit=0 or expected markers missing
auth-browser	FAIL	P0-G4 login exit link and Keycloak CTA browser smoke	../../docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P0-G4-login-browser-smoke.txt	exit=1
auth-browser	WARN	P0-G4 harness setup installed missing Chromium asset	../../docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P0-G4-playwright-install-chromium.txt	previous login smoke failure classified as harness missing browser asset
auth-browser	FAIL	P0-G4 login exit link and Keycloak CTA browser smoke rerun	../../docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P0-G4-login-browser-smoke-rerun.txt	exit=1
auth-browser	PASS	P0-G4 custom public login/OIDC smoke	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P0-G4-custom-public-login-oidc-smoke.txt	business/provider login links visible; OIDC redirects to auth.aminra.org with public callback
auth-browser	WARN	P0-G4 existing Playwright spec has stale localhost redirect expectation	../../docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P0-G4-login-browser-smoke-rerun.txt	product behavior correct for public URL; test expectation should be parameterized later
auth-rbac	PASS	P0-G5 auth/RBAC discovery	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P0-G5-auth-rbac-discovery.txt	candidates and credential-file presence recorded without secrets
auth-rbac	PASS	P0-G5 QA credential variable names recorded	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P0-G5-qa-credential-vars.txt	values not printed
auth-rbac	FAIL	P0-G5 Keycloak demo account token smoke	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P0-G5-keycloak-demo-account-token-smoke.txt	exit=1
auth-rbac	FAIL	P0-G5 live role boundary smoke	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P0-G5-role-boundaries-live-smoke.txt	exit=127; inspect for credential drift or RBAC regression
auth-rbac	PASS	P0-G5 live role boundary smoke in backend container	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P0-G5-role-boundaries-live-smoke-container.txt	role allow/deny smoke passed
security-core	FAIL	P1-G7G8 backend auth/security focused suites	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P1-G7G8-backend-security-core-focused.txt	exit=1
security-core	PASS	P1-G7 admin password reset suite after harness sync	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P1-G7-admin-password-reset-after-frontend-sync.txt	admin reset/session regression tests passed
security-boundary	PASS	P1-G8 anonymous protected route boundaries	docs/qa/20260917-post-phase55-confidence-sweep/evidence/terminal/P1-G8-anonymous-protected-boundaries-only.txt	protected GET/POST anonymous routes rejected
