# Domain: 07-jobs-audit-data-security
# Step: high-signal-log-scan
# Started: 2026-09-12T10:38:18-04:00
# Command: docker compose logs --since=60m aminra-backend arq-worker keycloak 2>&1 | grep -Ei 'traceback|exception|error|failed|fatal|database not available|secret|token' || true

keycloak-1        | 2026-09-12 20:40:15,369 WARN  [org.keycloak.events] (executor-thread-6) type="LOGIN_ERROR", realmId="9c74ed52-4567-457d-aaf8-96bb1cdeafcf", realmName="aminra", clientId="aminra-frontend", userId="38acfe95-d9d7-454f-8bcc-577e872cc812", ipAddress="42.114.212.145", error="invalid_user_credentials", auth_method="openid-connect", grant_type="password", client_auth_method="client-secret", username="cb-demo@demo.aminra.vn"
keycloak-1        | 2026-09-12 20:43:11,866 WARN  [org.keycloak.events] (executor-thread-6) type="LOGIN_ERROR", realmId="9c74ed52-4567-457d-aaf8-96bb1cdeafcf", realmName="aminra", clientId="aminra-frontend", userId="38acfe95-d9d7-454f-8bcc-577e872cc812", ipAddress="42.114.212.145", error="invalid_user_credentials", auth_method="openid-connect", grant_type="password", client_auth_method="client-secret", username="cb-demo@demo.aminra.vn"
keycloak-1        | 2026-09-12 21:19:06,148 WARN  [org.keycloak.events] (executor-thread-6) type="LOGIN_ERROR", realmId="9c74ed52-4567-457d-aaf8-96bb1cdeafcf", realmName="aminra", clientId="aminra-frontend", userId="3158c2cb-cd20-4212-9524-50632c2827f7", ipAddress="42.114.212.145", error="invalid_user_credentials", auth_method="openid-connect", grant_type="password", client_auth_method="client-secret", username="admin@aminra.com"
keycloak-1        | 2026-09-12 21:19:15,050 WARN  [org.keycloak.events] (executor-thread-6) type="LOGIN_ERROR", realmId="9c74ed52-4567-457d-aaf8-96bb1cdeafcf", realmName="aminra", clientId="aminra-frontend", userId="3158c2cb-cd20-4212-9524-50632c2827f7", ipAddress="42.114.212.145", error="invalid_user_credentials", auth_method="openid-connect", grant_type="password", client_auth_method="client-secret", username="admin@aminra.com"
keycloak-1        | 2026-09-12 21:20:13,419 WARN  [org.keycloak.events] (executor-thread-6) type="LOGIN_ERROR", realmId="9c74ed52-4567-457d-aaf8-96bb1cdeafcf", realmName="aminra", clientId="aminra-frontend", userId="38acfe95-d9d7-454f-8bcc-577e872cc812", ipAddress="42.114.212.145", error="invalid_user_credentials", auth_method="openid-connect", grant_type="password", client_auth_method="client-secret", username="cb-demo@demo.aminra.vn"
keycloak-1        | 2026-09-12 21:21:31,409 WARN  [org.keycloak.events] (executor-thread-6) type="REFRESH_TOKEN_ERROR", realmId="9c74ed52-4567-457d-aaf8-96bb1cdeafcf", realmName="aminra", clientId="aminra-frontend", userId="null", ipAddress="42.114.212.145", error="invalid_token", reason="Invalid refresh token", grant_type="refresh_token", client_auth_method="client-secret"
keycloak-1        | 2026-09-12 21:21:35,361 WARN  [org.keycloak.events] (executor-thread-6) type="LOGIN_ERROR", realmId="9c74ed52-4567-457d-aaf8-96bb1cdeafcf", realmName="aminra", clientId="aminra-frontend", userId="048b8c25-8a2c-4ba1-8144-2a43ac6dfd68", ipAddress="42.114.212.145", error="user_disabled", auth_method="openid-connect", grant_type="password", client_auth_method="client-secret", username="pw-tier1-suspended-1789222870352@e2e.vn"
keycloak-1        | 2026-09-12 21:21:38,074 WARN  [org.keycloak.events] (executor-thread-6) type="LOGIN_ERROR", realmId="9c74ed52-4567-457d-aaf8-96bb1cdeafcf", realmName="aminra", clientId="aminra-frontend", userId="cd5321d0-7f2b-4ff5-80c1-b662ceea4253", ipAddress="42.114.212.145", error="invalid_user_credentials", auth_method="openid-connect", grant_type="password", client_auth_method="client-secret", username="pw-tier1-biz-1789222870352@e2e.vn"
keycloak-1        | 2026-09-12 21:21:38,524 WARN  [org.keycloak.events] (executor-thread-6) type="LOGIN_ERROR", realmId="9c74ed52-4567-457d-aaf8-96bb1cdeafcf", realmName="aminra", clientId="aminra-frontend", userId="null", ipAddress="42.114.212.145", error="user_not_found", auth_method="openid-connect", grant_type="password", client_auth_method="client-secret", username="noone@nowhere.com"
keycloak-1        | 2026-09-12 21:21:39,901 WARN  [org.keycloak.events] (executor-thread-6) type="LOGIN_ERROR", realmId="9c74ed52-4567-457d-aaf8-96bb1cdeafcf", realmName="aminra", clientId="aminra-frontend", userId="f093c2be-dea4-4d36-a384-9ab92b5eb169", ipAddress="42.114.212.145", error="invalid_user_credentials", auth_method="openid-connect", grant_type="password", client_auth_method="client-secret", username="pw-tier1-biz-1789222870352@e2e.vn"
keycloak-1        | 2026-09-12 21:21:41,401 WARN  [org.keycloak.events] (executor-thread-6) type="LOGIN_ERROR", realmId="9c74ed52-4567-457d-aaf8-96bb1cdeafcf", realmName="aminra", clientId="null", userId="null", ipAddress="42.114.212.145", error="client_not_found", grant_type="password"
