resource/action	actor	positive_scope	negative_scope	assertion	coverage
GET /documents	business	own canonical tenant	other tenant documents not listed	SQL filters by resolve_canonical_tenant_id(user, db), not token claim tenant	backend/tests/test_document_tenant_boundary_matrix.py::test_business_list_uses_only_canonical_tenant_scope
GET /documents/{id}	business	own tenant doc	cross-tenant doc id	404 no existence leak; query uses id + tenant_id	backend/tests/test_document_tenant_boundary_matrix.py::test_business_detail_returns_404_for_cross_tenant_document
GET /documents/{id}	business	own tenant doc	N/A	returns detail only when tenant matches	backend/tests/test_document_tenant_boundary_matrix.py::test_business_detail_returns_owned_document_when_tenant_matches
GET /documents/{id}/file	business	own tenant doc file	cross-tenant doc id	404; query uses id + tenant_id	backend/tests/test_document_tenant_boundary_matrix.py::test_business_file_and_preview_return_404_for_cross_tenant_doc[get_document_file]
GET /documents/{id}/preview	business	own tenant doc preview	cross-tenant doc id	404; query uses id + tenant_id	backend/tests/test_document_tenant_boundary_matrix.py::test_business_file_and_preview_return_404_for_cross_tenant_doc[preview_document]
GET /documents/{id}/file	provider	file explicitly referenced by assigned submission	unbound business tenant docs	EXISTS submission(document_ids) + provider/auditor id required	backend/tests/test_document_tenant_boundary_matrix.py::test_provider_file_and_preview_only_allow_submission_bound_documents[get_document_file]
GET /documents/{id}/preview	provider	preview explicitly referenced by assigned submission	unbound business tenant docs	EXISTS submission(document_ids) + provider/auditor id required	backend/tests/test_document_tenant_boundary_matrix.py::test_provider_file_and_preview_only_allow_submission_bound_documents[preview_document]
GET /documents/{id}/file	provider	N/A	unbound doc id	404 no broad tenant access	backend/tests/test_document_tenant_boundary_matrix.py::test_provider_file_and_preview_return_404_for_unbound_documents[get_document_file]
GET /documents/{id}/preview	provider	N/A	unbound doc id	404 no broad tenant access	backend/tests/test_document_tenant_boundary_matrix.py::test_provider_file_and_preview_return_404_for_unbound_documents[preview_document]
POST /documents/{id}/evaluate	business	own tenant doc	cross-tenant doc id	404 and no UPDATE mutation	backend/tests/test_document_tenant_boundary_matrix.py::test_evaluate_rejects_cross_tenant_document_without_mutating
POST /documents/{id}/promote	business	own tenant doc	cross-tenant doc id	404 and no UPDATE mutation	backend/tests/test_document_tenant_boundary_matrix.py::test_promote_rejects_cross_tenant_document_without_mutating
DELETE /documents/{id}	business	own tenant doc	cross-tenant doc id	404 and no file/DB mutation	backend/tests/test_document_tenant_boundary_matrix.py::test_delete_rejects_cross_tenant_document_without_file_or_db_mutation
DELETE /documents/{id}	business	file path under UPLOAD_DIR only	corrupt/hostile file_path outside UPLOAD_DIR	500 fail-closed; external file preserved; metadata row preserved	backend/tests/test_document_tenant_boundary_matrix.py::test_delete_refuses_to_unlink_document_file_outside_upload_root
POST /documents/upload	business	canonical app user + tenant	Keycloak sub written to app FK	metadata insert receives AMINRA users.id; DB failure cleans file	backend/tests/test_document_upload_hardening.py
