domain	status	step	evidence	note
entry	TODO	G1-ENTRY-001 Landing page loads on fresh browser, incognito, and logged-out state.	e2e/42-gate1-role-landing.spec.ts	priority=P1
entry	TODO	G1-ENTRY-002 Business login page has `Về trang chủ`, Keycloak CTA, and does not trap unauthenticated users.	e2e/42-gate1-role-landing.spec.ts	priority=P0
entry	TODO	G1-ENTRY-003 Provider login page has the same escape/CTA behavior.	e2e/42-gate1-role-landing.spec.ts	priority=P0
entry	TODO	G1-ENTRY-004 Direct deep link to protected business page redirects to login, then returns to the intended page after login if safe.	e2e/42-gate1-role-landing.spec.ts	priority=P0
entry	TODO	G1-ENTRY-005 Direct deep link to provider-only page as business user shows clear no-access message, not redirect loop.	e2e/42-gate1-role-landing.spec.ts	priority=P1
entry	TODO	G1-ENTRY-006 Browser back button after login does not resurrect login page with stale authenticated state.	e2e/42-gate1-role-landing.spec.ts	priority=P0
entry	TODO	G1-ENTRY-007 Browser refresh on dashboard preserves session and role context.	e2e/42-gate1-role-landing.spec.ts	priority=P0
entry	TODO	G1-ENTRY-008 Two tabs open: logout in one tab causes the other tab to require re-auth or refresh identity safely.	e2e/42-gate1-role-landing.spec.ts	priority=P1
entry	TODO	G1-ENTRY-009 Session expiry while editing a form preserves draft locally if possible, or clearly asks user to re-login without data loss.	e2e/42-gate1-role-landing.spec.ts	priority=P0
entry	TODO	G1-ENTRY-010 User opens app after many hours: stale local profile is not shown before `/auth/me` verifies token.	e2e/42-gate1-role-landing.spec.ts	priority=P0
identity	TODO	G1-IDENTITY-001 Valid new business self-registration succeeds and sends verification email.	e2e/41-gate1-onboarding-email.spec.ts	priority=P0
identity	TODO	G1-IDENTITY-002 Duplicate email registration does not create duplicate Keycloak/Postgres rows.	e2e/41-gate1-onboarding-email.spec.ts	priority=P0
identity	TODO	G1-IDENTITY-003 Duplicate company name with different owner follows the intended policy and explains conflict clearly.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
identity	TODO	G1-IDENTITY-004 Email with uppercase letters normalizes consistently.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
identity	TODO	G1-IDENTITY-005 Email with leading/trailing spaces is trimmed or rejected consistently.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
identity	TODO	G1-IDENTITY-006 Invalid email domains/formats show inline error.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
identity	TODO	G1-IDENTITY-007 Password below policy is rejected with readable policy details.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
identity	TODO	G1-IDENTITY-008 Password with user email/name is rejected if Keycloak policy enforces it; UI message is readable.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
identity	TODO	G1-IDENTITY-009 Terms/privacy required checkbox cannot be bypassed if required.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
identity	TODO	G1-IDENTITY-010 Required business fields missing show field-level errors.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
identity	TODO	G1-IDENTITY-011 Registration interrupted after Keycloak user creation but before app DB row creation compensates or recovers idempotently.	e2e/41-gate1-onboarding-email.spec.ts	priority=P0
identity	TODO	G1-IDENTITY-012 Re-submitting after network timeout does not create duplicate users/tenants.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
identity	TODO	G1-IDENTITY-013 Verification email resend works and rate-limits abuse.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
identity	TODO	G1-IDENTITY-014 Verification link opened on a different browser/device completes the account and does not require original browser state.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
identity	TODO	G1-IDENTITY-015 Expired verification link offers resend path.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
identity	TODO	G1-IDENTITY-016 Already verified link shows safe success/already-verified message, not scary failure.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
identity	TODO	G1-IDENTITY-017 Disabled/suspended account cannot verify/login and sees support guidance.	e2e/41-gate1-onboarding-email.spec.ts	priority=P0
identity	TODO	G1-IDENTITY-018 Provider/CB invite accepts only intended email/role.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
identity	TODO	G1-IDENTITY-019 Auditor invite accepts only intended email/assignment.	e2e/41-gate1-onboarding-email.spec.ts	priority=P0
identity	TODO	G1-IDENTITY-020 Invite link expired shows clear contact/resend path.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
identity	TODO	G1-IDENTITY-021 Invite already used cannot provision a second account.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
identity	TODO	G1-IDENTITY-022 Invite opened by wrong existing logged-in user warns and requires logout/account switch.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
identity	TODO	G1-IDENTITY-023 Provider/auditor invite failure does not leave orphan Keycloak user without app row.	e2e/41-gate1-onboarding-email.spec.ts	priority=P0
email	TODO	G1-EMAIL-001 Verify email subject/sender/from-domain are recognizable to customer.	e2e/41-gate1-onboarding-email.spec.ts	priority=P0
email	TODO	G1-EMAIL-002 Verify email link points to canonical `auth.aminra.org` / `aminra.org`, never legacy `silvergem.org`.	e2e/41-gate1-onboarding-email.spec.ts	priority=P0
email	TODO	G1-EMAIL-003 Password reset email link points to canonical domain.	e2e/41-gate1-onboarding-email.spec.ts	priority=P0
email	TODO	G1-EMAIL-004 Email HTML and plaintext contain enough context and no secrets.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
email	TODO	G1-EMAIL-005 User clicks the newest verification email after requesting resend multiple times; newest works, old links fail safely or remain valid per policy.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
email	TODO	G1-EMAIL-006 SMTP provider accepts but event is delayed; UI sets expectation and offers resend after cooldown.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
email	TODO	G1-EMAIL-007 SMTP provider failure surfaces as retry/support, not silent success.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
email	TODO	G1-EMAIL-008 Rate limiting prevents email spam without locking legitimate customer permanently.	e2e/41-gate1-onboarding-email.spec.ts	priority=P1
session	TODO	G1-SESSION-001 Correct business credentials login successfully.	e2e/42-gate1-role-landing.spec.ts	priority=P0
session	TODO	G1-SESSION-002 Wrong password shows non-enumerating error.	e2e/42-gate1-role-landing.spec.ts	priority=P1
session	TODO	G1-SESSION-003 Nonexistent email shows non-enumerating error.	e2e/42-gate1-role-landing.spec.ts	priority=P1
session	TODO	G1-SESSION-004 Unverified account gets verification-required guidance.	e2e/42-gate1-role-landing.spec.ts	priority=P1
session	TODO	G1-SESSION-005 Disabled account gets support guidance.	e2e/42-gate1-role-landing.spec.ts	priority=P1
session	TODO	G1-SESSION-006 Locked/brute-force account gets safe support guidance.	e2e/42-gate1-role-landing.spec.ts	priority=P1
session	TODO	G1-SESSION-007 Business logout clears local/session storage and app profile.	e2e/42-gate1-role-landing.spec.ts	priority=P0
